DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
PRECIOS SEMANALES DEL CERDO CEBADO EN PIE Y DE LA CANAL CALIENTE,COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,"FONDO NACIONAL DE LA PORCICULTURA 
 (ASOCIACIÓN COLOMBIANA DE PORCICULTORES)",REGISTRO ADMINISTRATIVO,Estimar el precio de referencia de mercado del cerdo en pie y de la canal caliente.,,,,Precio por kilogramo del cerdo en pie (> 95 kilogramos)*Precio por kilogramo de la canal caliente,Precio promedio Semanal*Precio promedio mensual*Precio promedio anual,Municipal,,,,,Semanal,,,"* Asociación Colombiana de Porcicultores
 * Porcicultores 
 * Ministerio de Agricultura y Desarrollo Rural",,
PRODUCCIÓN BIBLIOGRAFICA EN EL WEB OF SCIENCE Y EN SCOPUS,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,OBSERVATORIO COLOMBIANO DE CIENCIA Y TECNOLOGÍA,MÚLTIPLES FUENTES,Generar estadísticas sobre documentos científicos producidos por autores afiliados a instituciones colombianas que circulan en revistas de alto impacto y que se encuentran incluidas en el Web of Science y en la base de Scopus de Elsevier,,,,tipo de documento*año de publicación*Área de la ciencia*Entidad territorial (departamentos y DC)*Tipo de institución*Países colaborantes,Número de documentos por tipología documental*número de artículos por área de la ciencia*por entidad territorial*por investigador y por tipo de colaboración científica,Nacional*Departamental*Municipal,,,,,Anual,,,Internos (otros investigadores de la institución) * Universidades * Insttitutos de investigación * organismos multilaterales * Colciencias * DNP * investigadores,,
PRODUCCIÓN DE ALCOHOL DE CAÑA DE AZÚCAR,COLOMBIA,11 CIUDADES Y COMUNIDADES SOSTENIBLES,,SOCIEDAD CIVIL,ASOCIACIÓN DE CULTIVADORES DE CAÑA (ASOCAÑA),REGISTRO ADMINISTRATIVO,Contabilizar el alcohol producido por los ingenios azucareros,,,,Producido en litros,Producido en litros,No aplica,SI,XLS,http://www.asocana.org/modules/documentos/5528.aspx,31/08/2016,"Anual 
 mensual",2016,,,,
PRODUCCIÓN DE AZÚCAR,COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,ASOCIACIÓN DE CULTIVADORES DE CAÑA (ASOCAÑA),REGISTRO ADMINISTRATIVO,Contabilizar el azúcar producido por los ingenios azucareros.,,,,Azúcar producida,Cantidad de azúcar producida,No aplica,SI,XLS,http://www.asocana.org/modules/documentos/5528.aspx,31/08/2016,"Anual 
 mensual",2016,,,,
PRODUCCIÓN DE CAÑA MOLIDA,COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,ASOCIACIÓN DE CULTIVADORES DE CAÑA (ASOCAÑA),REGISTRO ADMINISTRATIVO,Contabilizar la caña procesada en los ingenios azucareros.,,,,caña producida,Toneladas de caña producida,No aplica,SI,XLS,http://www.asocana.org/modules/documentos/5528.aspx,31/08/2016,"Anual 
 mensual",2016,,,,
"PRODUCCIÓN DE FRUTO, ACEITE DE PALMA CRUDO Y ALMENDRA EN EL PAÍS",COLOMBIA,,,SOCIEDAD CIVIL,FEDERACIÓN NACIONAL DE CULTIVADORES DE PALMA DE ACEITE (FEDEPALMA),REGISTRO ADMINISTRATIVO,Conocer cuánto aceite de palma crudo y almendra se produce mensualmente en el país.,,,,Producción de aceite*fruto procesado*porcentaje de extracción,Producción mensual de aceite de palma y fruto procesado,Municipal,,,,,Mensual,,,"Internos: Usuarios Fedepalma y Cenipalma.
 Externos: la academia * el Gobierno en sus diferentes niveles * las organizaciones sin ánimo de lucro * los técnicos * los investigadores y sus centros de pensamiento * la banca * los inversionistas y demás personas interesadas en conocer esta agroindustria.",,
PRODUCCIÓN DE HIDROCARBUROS,COLOMBIA,,,SECTOR PÚBLICO,AGENCIA NACIONAL DE HIDROCARBUROS (ANH),REGISTRO ADMINISTRATIVO,Disponer de información para la generación de indicadores sobre la producción de hidrocarburos en el país,,,,Producción fiscalizada y gravable de crudo y gas natural (barriles petróleo / día*pies cúbicos gas natural / día)*Consumos*pérdidas*Calidad del petróleo*departamento*contrato*empresa,Barriles de petróleo / día*Pies cúbicos gas / día,Nacional*Regional*Departamental,SI,XLS,http://www.anh.gov.co/Operaciones-Regalias-y-Participaciones/Sistema-Integrado-de-Operaciones/Paginas/Estadisticas-de-Produccion.aspx,12/08/2016,Mensual,,,Entidades del Estado (Presidencia de la República * Ministerio de Minas y Energía * Entidades adscritas al Ministerio de Minas y Energía * Autoridad Nacional de Licencias Ambientales (ANLA) * Ministerio del Interior) * Compañías operadoras * Compañías prestadoras de servicios * Universidades,,
PRODUCCIÓN DE HUEVO Y POLLO,COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,FEDERACIÓN NACIONAL DE AVICULTORES (FENAVI),REGISTRO ADMINISTRATIVO,"Conocer los niveles de producción de huevo y pollo y su dinámica, es decir el nivel de cambio porcentual en la producción mensual.",,,,Pollos nacidos para la producción de carne*pollos para producción de huevo*producción de huevo por gallina,Cifras de producción de huevo y pollo en canal*Cifras de importaciones de materias primas*Cifras de inventario de aves en etapa de levante postura y finalización de ciclo productivo,Nacional*Regional*Departamental,,,,,Mensual,,,"La informacion de producion de huevo y gallina esta destinada para el uso de los avicultores afiliados al Fondo Nacional Avicola de la Federación Nacional de Avicultores de Colombia FENAVI
 terceros: entes gubernamentales como el Instituto Colombiano Agropecuario ICA * * Ministerio de Agricultura * universidades y estudiantes.",,
PRODUCCIÓN ESPERADA DE MINERALES,COLOMBIA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,AGENCIA NACIONAL DE MINERÍA (ANM),REGISTRO ADMINISTRATIVO,Registrar la información de producción minera en el país,,,,Producción reportada para pago de regalias por unidad de medida (toneladas*onzas troy*m3*etc.)* tipo de recurso mineral*titulo minero*solicitantes de legalización*beneficiarios de áres de reserva especial*barequeo*departamento*municipio,Producción minera a nivel nacional,Departamental*Municipal,SI,XLS,http://www.simco.gov.co/simco/Estad%EDsticas/Producci%F3n/tabid/121/Default.aspx,31/08/2016,Trimestral,2015,,ciudadanos agremiaciones * industria * universidades * Entidades públicas * y anm,,
"PRODUCCIÓN MINERAL NACIONAL DE AZUFRE, YESO Y ROCA FOSFÓRICA",COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Tener información estadística disponible sobre la producción de azufre,yeso,roca fosfórica",,,,Producción mineral nacional de de azufre*yeso y roca fosfórica,Series de producción de minerales preciosos,Nacional,,,,,Anual,,,"Ministerio de Minas y Energía * Subdirección de Minería UPME
 Público en General",,
"PRODUCCIÓN MINERAL NACIONAL DE ORO, PLATA Y PLATINO",COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Tener información estadística disponible sobre la producción de minerales preciosos de oro, plata y platino",,,,Producción mineral nacional de oro*plata y platino,Series de producción de minerales preciosos,Nacional,,,,,Anual,,,"Ministerio de Minas y Energía * Subdirección de Minería UPME
 Público en General",,
PRODUCCIÓN MINERAL NACIONAL DE SAL,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información estadística disponible sobre la producción de sal,,,,Producción mineral nacional de sal,Series de producción de minerales preciosos,Nacional,,,,,Anual,,,"Ministerio de Minas y Energía * Subdirección de Minería UPME
 Público en General",,
PRODUCCIÓN NACIONAL DE ESMERALDAS,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información estadística disponible sobre la producción de esmeraldas,,,,Producción nacional de esmeraldas,Series de producción de esmeraldas,Nacional,,,,,Anual,,,"Ministerio de Minas y Energía * Subdirección de Minería UPME
 Público en General",,
PRODUCCIÓN NACIONAL DE HIERRO,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información estadística disponible sobre la producción de hierro,,,,Producción nacional de hierro,Series de producción de minerales preciosos,Nacional,,,,,Anual,,,"Ministerio de Minas y Energía * Subdirección de Minería UPME
 Público en General",,
PRODUCCIÓN NACIONAL DE NÍQUEL,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Tener información estadística disponible sobre la producción de niquel,,,,Producción mineral nacional de níquel,Series de producción de minerales preciosos,Nacional,,,,,Anual,,,"Ministerio de Minas y Energía * Subdirección de Minería UPME
 Público en General",,
PRODUCCION Y ANÁLISIS DE LAS ESTADÍSTICAS SOBRE MIGRACION ANUAL (EM),COLOMBIA,,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),MÚLTIPLES FUENTES,"Brindar información actualizada, oportuna, confiable y periódica, sobre las dinámicas y las tendencias de los movimientos internacionales de colombianos y extranjeros que arriban o dejan el país, así como analizar las principales características de esta población.",,,,Movilidad y Migración de personas en el territorio colombianúmero,Estimados de Migración total nacional y por departamento*Proyecciones de migración total nacional y por departamento,No aplica,SI,PDF,http://www.dane.gov.co/files/investigaciones/poblacion/migraciones/Anuario_2014.pdf,23/08/2016,Anual,2014,,Direcciones técnicas del DANE * Ministerio de Relaciones Exteriores * Banco de la República * Red de Universidades Públicas del eje cafetero * Grupos étnicos * Organisos no Gubernamentales * Universidades y Centros de Investigación * Entiaddes financieras * Organización internacional para las Migraciones OIM * Fondo de Población de las Naciones Unidas - UNFPA * Unión Europea * Embajadas; América * España * Solidaridad y Cooperación – AESCO;,,
PROYECCIONES DE DEMANDA DE COMBUSTIBLES LÍQUIDOS,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Realizar proyecciones de demanda interna de
 combustibles para el sector transporte, esto
 es, combustibles líquidos y gas natural
 vehicular (GNV)",,,,Consumo de combustibles por region y sector (industrail y transporte)(MME SICOM*Mensual*Datos operativos de transporte nacional y regional*Entidades de trasnporte regionales*Minstransporte*Operadores de Bus (Transmilenio)*Anual (en verndad no hay una periodicidad depende de la disponibidad de la información)*Encuestas Origen*Destino regionales*Entidades de tránsito regioanles*Cada 2 o 3 años*Registro Unico de transporte*RUNT*Numero de Vehículos*Minstransporte*Diaria*Venta de Soat - Fasecolda - Anual*Precios de los combustibles líquidos*PIB (Proyecciones In-house basada en el histórico del DANE)*Trimestral*Índice de precios de energía eléctrica (DANE) Mensual,Proyecciones de combustibles líquidos ( Gasolina motor*ACPM*GNV) y otros energéticos alternativos en los diferentes escenarios (Series de tiempo históricas),Nacional*Regional,,,,,Trimestral,,,Público en general (Academia * Entidades Públicas y Privadas),,
PROYECCIONES DE DEMANDA DE ENERGÍA ELÉCTRICA,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Realizar proyecciones de demanda de energía eléctrica del país,,,,Descripción y Funcionamiento del Sistema Eléctico Colombiano (Fuente XM)(Datos Generales*Capacidad efectiva*Demanda de Energía del SIN*Estructura del Mercado*Trasnsacciones Internaciones de Electricidad)*Demanda de electricidad (Fuente XM)(Propuesta Pronóstico de Demanda CND*Indicadores de Pronósticos Oficiales de Demanda)*Temperatura IDEAM por estaciones metereologicas por departamenttos (Mensual)*Poblacion ( NACIONES UNIDAS ) Anual*PIB (Proyecciones In-house basada en el histórico del DANE) Trimestral*Consumo de Gas Natural Nacional* Regional* Municipal y Sectorial,Proyecciones de demanda de energía eléctrica nacional (series de tiempo),Nacional*Regional,,,,,Anual Trimestral,,,Publico en general (Academia * Entidades Públicas y Privadas),,
PROYECCIONES DE LA DEMANDA DE GAS NATURAL,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Realizar proyecciones de demanda de gas natural del país.,,,,Cobertura del servicio en el sector residencial ( MME y/o SUI) Anual*Precios de Gas Natural*Carbón y ACPM (Subdirección de Hidrocarburos) Anual*PIB (Proyecciones In-house basada en el histórico del DANE) Trimestral*Indice de Producción Industrail del DANE Trimestral*Proyección de Demanda de Ecopetrol (ECP ) Anual*Proyecciones de Demanda del sector termoeléctrcico (Subdirección de Energía) Anual*Proyecciones de trasnporte (Subdirección de Demanda) Anual*Consumo de Combustibles Min Hancienda Sobretasa Mensual,Proyecciones de gas natural (Series de tiempo históricas),Nacional*Regional,,,,,Trimestral,,,Público en general (Academia * Entidades Públicas y Privadas),,
PROYECCIONES DE LOS PRECIOS DE GAS NATURAL PARA GENERACIÓN ELÉCTRICA,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Proyectar los precios del gas natural para los análisis de prospectiva,,,,variables económicas (histórico trm diario*histórico y proyección de ipp e ipc (u.s. y nacional) mensual)*variables energéticas*históricos de los índices internacionales del gas natural (henry hub* national balancing point –nbp-* y japan korea market)diario*capacidad de generación por combustible para cada térmica.semestral*histórico y proyección del ingreso al productor (ip) del gas natural (nacional e importado)semestral*histórico y proyección del costo del transporte por gasoducto*semestral*proyección del precio de los energéticos (gas) para cada térmica (ip+costo de transporte aspectos regulatorios)* semestral,Series de tiempo históricas y proyecciones de precios,Nacional,,,,,Semestral,,,Publico en general ( Academia * Entidades Públicas y Privadas),,
PROYECCIONES DE LOS PRECIOS DEL ACPM PARA GENERACIÓN ELÉCTRICA,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Proyectar los precios del ACPM para los análisis de prospectiva,,,,variables económicas (histórico trm diario*histórico y proyección de ipp e ipc (u.s. y nacional) mensual)*variables energéticas*históricos de los índices internacionales del gas natural (henry hub* national balancing point –nbp-* y japan korea market)diario*capacidad de generación por combustible para cada térmica.semestral*histórico y proyección del ingreso al productor (ip) del gas natural (nacional e importado)semestral*histórico y proyección del costo del transporte por gasoducto*semestral*proyección del precio de los energéticos (gas) para cada térmica (ip+costo de transporte aspectos regulatorios)* semestral,Series de tiempo históricas y proyecciones de precios del ACPM,Nacional,,,,,Semestral,,,Publico en general ( Academia * Entidades Públicas y Privadas),,
PROYECCIONES DE LOS PRECIOS DEL CARBÓN PARA GENERACIÓN ELÉCTRICA,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Proyectar los precios del carbón para los análisis de prospectiva,,,,variables económicas (histórico trm diario*histórico y proyección de ipp e ipc (u.s. y nacional) mensual)*variables energéticas*históricos de los índices internacionales del gas natural (henry hub* national balancing point –nbp-* y japan korea market)diario*capacidad de generación por combustible para cada térmica.semestral*histórico y proyección del ingreso al productor (ip) del gas natural (nacional e importado)semestral*histórico y proyección del costo del transporte por gasoducto*semestral*proyección del precio de los energéticos (gas) para cada térmica (ip+costo de transporte aspectos regulatorios)* semestral,Series de tiempo históricas y proyecciones de precios,Nacional,,,,,Semestral,,,Publico en general ( Academia * Entidades Públicas y Privadas),,
